Model Name,Virtual Model,Virtual Account,User Type,Total Requests,Sum Input Tokens,Sum Output Tokens,Sum Cost In USD,Avg Latency Ms,Avg Time To First Token Ms,Avg Inter Token Latency Ms
google-vertex/gemini-2.5-flash-lite,,internal-developer-va,virtualaccount,62,87835,17635,0.02,1392.99,0,0
internal-bedrock/amazon-nova-pro-v1-0,um-team-vm/dev_um_ccx_ocr,um-va,virtualaccount,126,572026,174615,1.02,12260.03,0,0
claude-opus-4-6,,internal-developer-va,virtualaccount,2,0,0,0,0,0,0
internal-bedrock/amazon-nova-pro-v,,um-va,virtualaccount,1,0,0,0,0,0,0
internal-bedrock/sonnet-46,um-team-vm/dev_um_ccx_portal,um-va,virtualaccount,36,241118,40201,1.33,12511.05,0,0
google-vertex/gemini-2.5-pro,um-team-vm/dev_um_ccx_timeline,um-va,virtualaccount,65,604513,554894,6.22,66398.50,0,0
um-team-vm/staging_um_ccx_eval,um-team-vm/staging_um_ccx_eval,um-va,virtualaccount,1,0,0,0,29080.72,0,0
rcm-finetuned/gemma4-31b,,internal-developer-va,virtualaccount,465,4095139,4036944,0,180824.14,0,0
dev-gravity/us-anthropic-claude-sonnet-4-6-v1,,internal-developer-va,virtualaccount,404985,0,0,0,0,0,0
um-team-vm/prod_um_ccx_portal,um-team-vm/prod_um_ccx_portal,um-va,virtualaccount,1,0,0,0,16046.14,0,0
gemma/gemma4-31b,gemma/gemma4-31b,internal-developer-va,virtualaccount,10,0,0,0,5.65,0,0
google-vertex/opus-46-v1,,internal-developer-va,virtualaccount,10042,109437,209,0.69,6203.90,2924.36,15.99
,,internal-developer-va,virtualaccount,8,0,0,0,0,0,0
internal-bedrock/gpt-oss-20b,,internal-developer-va,virtualaccount,48,46289,49942,0.02,8256.37,0,0
openai/gpt-5.4,,internal-developer-va,virtualaccount,2,0,0,0,0,0,0
google-vertex/anthropic-claude-sonnet-4-6,,internal-developer-va,virtualaccount,404601,1711934,202622,6.80,8603.55,0,0
google-vertex/gemini-2.5-pro,um-team-vm/staging_um_ccx_timeline,um-va,virtualaccount,338,5563530,3011255,36.64,68859.61,0,0
openai/gpt-oss-20b,,internal-developer-va,virtualaccount,3,0,0,0,0,0,0
internal-bedrock/sonnet-45,,internal-developer-va,virtualaccount,12,53827,10579,0.32,22845.25,0,0
openai/text-embedding-3-small,,internal-developer-va,virtualaccount,111,54523,0,0.00,546.60,0,0
internal-bedrock/gpt-oss-120b,,internal-developer-va,virtualaccount,1,78,66,0.00,876.50,0,0
google-vertex/gemini-2.5-pro,um-team-vm/prod_um_ccx_eval,um-va,virtualaccount,323,2016084,899684,11.50,23836.79,0,0
bedrock/claude-3,,um-va,virtualaccount,3,0,0,0,0,0,0
internal-bedrock/amazon-nova-pro-v1-0,,um-va,virtualaccount,2530,11288907,3822308,21.26,13850.45,0,0
flow-code/sonnet-46,,internal-developer-va,virtualaccount,14,0,0,0,0,0,0
openai/gpt-5.1,,internal-developer-va,virtualaccount,736,642301,87914,1.61,3487.74,0,0
openai/text-embedding-3-large,,internal-developer-va,virtualaccount,52,3038,0,0.00,303.93,0,0
gemini,,um-va,virtualaccount,1,0,0,0,0,0,0
internal-bedrock/sonnet-45,um-team-vm/dev_um_ccx_eval,um-va,virtualaccount,4,21069,4045,0.12,25311.41,0,0
internal-bedrock/sonnet-46,,internal-developer-va,virtualaccount,834588,2815590964,416489758,12946.20,13854.39,2248.55,12.65
internal-bedrock/haiku-45,,internal-developer-va,virtualaccount,113558,336478275,150772704,996.39,9370.16,1403.94,7.61
google-vertex/google-gemini-2.5-pro,,um-va,virtualaccount,225,2345283,1906682,21.96,65449.70,0,0
google-vertex/google-gemini-2.5-pro,um-team-vm/prod_um_ccx_timeline,um-va,virtualaccount,223,2342889,1905310,21.95,65690.66,0,0
google-vertex/gemini-2.5-pro,um-team-vm/staging_um_ccx_ocr,um-va,virtualaccount,1,1075,2063,0.02,15885.39,0,0
anthropic-main/claude-3-5-sonnet,,internal-developer-va,virtualaccount,1,0,0,0,0,0,0
google-vertex/gemini-2.5-pro,,um-va,virtualaccount,1736,13019365,8150810,97.19,38205.10,0,0
dev-gravity/us-anthropic-claude-opus-4-6-v1,,internal-developer-va,virtualaccount,10041,0,0,0,0,0,0
openai/gpt-4o,,internal-developer-va,virtualaccount,4211,524695,55408,1.61,948.62,0,0
openai/gpt-4o-mini,,internal-developer-va,virtualaccount,120,7494584,124301,0.92,46295.36,0,0
openai/text-embedding-ada-002,,internal-developer-va,virtualaccount,829,353711,0,0.04,280.36,0,0
openai/gpt-4,,internal-developer-va,virtualaccount,12,0,0,0,0,0,0
claude-haiku-4-5-20251001,,internal-developer-va,virtualaccount,5,0,0,0,0,0,0
dev-gravity/sonnet-5,,internal-developer-va,virtualaccount,9,0,0,0,0,0,0
analytics-genai/gemini-25-flash,,internal-developer-va,virtualaccount,11163,16392333,37494105,98.63,16359.85,0,0
internal-bedrock/sonnet-46,um-team-vm/prod_um_ccx_portal,um-va,virtualaccount,162,1275122,323033,8.94,20954.64,0,0
openai/gpt-5,,internal-developer-va,virtualaccount,255,133663,285706,3.16,17935.01,34226.41,2.87
internal-bedrock/sonnet-45,,um-va,virtualaccount,22,144434,51350,1.20,40863.21,0,0
internal-bedrock/moonshotai.kimi-k2.5,,internal-developer-va,virtualaccount,13180,19339902,5061055,26.79,20918.19,0,0
google-vertex/gemini-2.5-pro,um-team-vm/dev_um_ccx_eval,um-va,virtualaccount,161,1032522,470003,5.99,24854.03,0,0
internal-bedrock/amazon-nova-pro-v1-0,um-team-vm/staging_um_ccx_ocr,um-va,virtualaccount,2401,10716881,3647693,20.25,14069.68,0,0
google-vertex/gemini-3.1-pro-preview,,um-va,virtualaccount,1,9229,7567,0.11,50075.32,0,0
model,,internal-developer-va,virtualaccount,1,0,0,0,0,0,0
google-vertex/gemini-3-pro-preview,,internal-developer-va,virtualaccount,1,0,0,0,0,0,0
openai/gpt-5.3-chat-latest,,internal-developer-va,virtualaccount,1,0,0,0,0,0,0
google-vertex/gemini-2.5-pro,um-team-vm/prod_um_ccx_ocr,um-va,virtualaccount,446,763766,1859994,19.55,34881.43,0,0
bedrock/claude-3,,internal-developer-va,virtualaccount,12,0,0,0,0,0,0
google-vertex/gemini-2-flash,,internal-developer-va,virtualaccount,1,0,0,0,0,0,0
